N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
120,현대해상,"23,000",400,+1.77%,500,"20,562","89,400",38.83,"605,682",5.64,6.23,
121,오뚜기,"555,000","3,000",+0.54%,"5,000","20,379","3,672",16.10,"4,734",18.75,7.79,
122,한화생명,"2,340",170,+7.83%,"5,000","20,324","868,530",7.67,"17,066,252",8.90,0.51,
123,한화,"26,550",750,+2.91%,"5,000","19,902","74,959",19.21,"547,039",10.82,2.09,
124,대우건설,"4,720",45,+0.96%,"5,000","19,617","415,623",8.25,"7,479,839",10.19,8.80,
125,종근당,"176,500","3,000",+1.73%,"2,500","19,213","10,886",13.79,"124,768",19.95,11.94,
126,BNK금융지주,"5,840",20,+0.34%,"5,000","19,035","325,935",38.91,"2,956,115",3.96,7.07,
127,포스코인터내셔널,"15,350",800,+5.50%,"5,000","18,938","123,375",13.20,"1,866,397",8.47,7.06,
128,KODEX 단기채권,"102,595",5,0.00%,0,"18,635","18,164",3.30,"10,912",N/A,N/A,
129,두산인프라코어,"8,590",80,-0.92%,"5,000","18,547","215,912",4.70,"25,419,641",11.08,11.59,
130,메리츠화재,"15,350",250,+1.66%,500,"18,516","120,625",10.35,"274,286",4.50,12.80,
131,한올바이오파마,"35,150",450,-1.26%,500,"18,363","52,241",6.89,"550,278",93.24,14.90,
132,한솔케미칼,"162,000",500,+0.31%,"5,000","18,298","11,295",36.32,"53,974",15.59,20.88,
133,농심,"293,500","2,500",+0.86%,"5,000","17,853","6,083",18.49,"46,874",13.17,3.72,
134,현대로템,"16,300",0,0.00%,"5,000","17,790","109,142",4.42,"2,613,731",-9.26,-37.93,
135,LS ELECTRIC,"59,000",600,+1.03%,"5,000","17,700","30,000",14.30,"359,220",22.74,7.82,
136,HDC현대산업개발,"26,150",100,+0.38%,"5,000","17,235","65,907",9.77,"1,810,860",6.49,20.30,
137,현대백화점,"73,300",600,+0.83%,"5,000","17,154","23,402",13.97,"152,688",15.02,4.64,
138,현대엘리베이,"41,950",150,+0.36%,"5,000","17,122","40,815",25.75,"530,604",18.79,5.22,
139,녹십자홀딩스,"36,300",950,+2.69%,500,"17,071","47,028",5.96,"1,145,357",34.31,0.37,
140,효성,"80,500",300,+0.37%,"5,000","16,962","21,071",5.66,"75,486",-37.74,4.25,
141,부광약품,"26,000","1,250",+5.05%,500,"16,858","64,838",5.61,"6,566,027","13,000.00",-2.00,
142,대웅제약,"142,500","3,500",+2.52%,"2,500","16,511","11,587",4.83,"6,333,037",-996.50,4.34,
143,OCI,"69,000",800,+1.17%,"5,000","16,456","23,849",17.61,"166,871",-2.23,-26.20,
144,아이에스동서,"52,400",500,+0.96%,500,"16,188","30,893",5.74,"200,665",12.63,6.10,
145,두산솔루스,"52,400",100,-0.19%,100,"16,029","30,590",9.17,"308,881",151.45,N/A,
146,DB하이텍,"35,850",500,+1.41%,"5,000","15,917","44,399",26.98,"677,623",9.67,17.40,
147,KCC,"177,000","6,000",+3.51%,"5,000","15,729","8,886",11.76,"122,834",-561.90,-4.37,
148,대한유화,"234,500",500,-0.21%,"5,000","15,242","6,500",16.98,"68,042",17.17,6.11,
149,KODEX 레버리지,"20,940",345,+1.68%,0,"15,119","72,200",4.44,"67,359,820",N/A,N/A,
150,한화시스템,"13,500",100,-0.74%,"5,000","14,881","110,230",2.21,"1,232,541",19.12,8.15,
151,영진약품,"8,130",190,+2.39%,500,"14,869","182,893",4.12,"6,700,759","-2,032.50",4.43,
152,LG생활건강우,"707,000","10,000",+1.43%,"5,000","14,845","2,100",84.35,"9,598",15.84,N/A,
